Classifier,Accuracy,F1 Score,Recall,ROC-AUC
GradientBoosting,0.956140350877193,0.9560357083576898,0.956140350877193,0.9950867998689813
CatBoost,0.9736842105263158,0.973621425014614,0.9736842105263158,0.9963969865705863
AdaBoost,0.9649122807017544,0.9647382344750765,0.9649122807017544,0.9924664264657713
ExtraTrees,0.9736842105263158,0.973621425014614,0.9736842105263158,0.9975433999344907
QDA,0.9649122807017544,0.964537136359107,0.9649122807017544,0.9957418932197839
LightGBM,0.9649122807017544,0.9647382344750765,0.9649122807017544,0.9954143465443825
KNeighbors,0.956140350877193,0.95553257040308,0.956140350877193,0.9959056665574845
DecisionTree,0.9385964912280702,0.938731642017737,0.9385964912280702,0.9369472649852605
XGBoost,0.956140350877193,0.9560357083576898,0.956140350877193,0.9908286930887652
Dummy,0.6228070175438597,0.4780464675201518,0.6228070175438597,0.5
SVM (Linear Kernel),0.956140350877193,0.9558014271241044,0.956140350877193,0.9957418932197838
